,Poll,Date,Sample,Sanders,Buttigieg,Klobuchar,Warren,Biden,Yang,Gabbard,Steyer,Patrick,Bennet,Spread,Days_Out
0,Final Results,,,25.7,24.4,19.8,9.2,8.4,2.8,3.3,3.6,0.4,0.3,Sanders +1.3,
1,RCP Average,2020-02-09,,28.7,21.3,11.7,11.0,11.0,3.7,3.3,1.7,1.0,0.3,Sanders +7.4,-6.0
2,Suffolk University,2020-02-09,500.0,27.0,19,14.0,12.0,12.0,3,3,2,1,0,Sanders +8,-6.0
3,WHDH,2020-02-09,500.0,30.0,23,14.0,11.0,10.0,4,2,2,1,1,Sanders +7,-6.0
4,CNN,2020-02-09,365.0,29.0,22,7.0,10.0,11.0,4,5,1,--,0,Sanders +7,-6.0
5,Suffolk University,2020-02-08,500.0,24.0,22,9.0,13.0,10.0,3,2,2,0,0,Sanders +2,-5.0
6,WHDH,2020-02-08,500.0,30.0,20,13.0,12.0,11.0,4,3,2,1,0,Sanders +10,-5.0
7,Suffolk University,2020-02-07,500.0,24.0,25,6.0,14.0,11.0,3,2,2,0,1,Buttigieg +1,-4.0
8,WHDH,2020-02-07,500.0,31.0,24,9.0,11.0,11.0,3,5,2,0,0,Sanders +7,-4.0
9,CNN,2020-02-08,384.0,28.0,21,6.0,9.0,12.0,4,5,2,0,0,Sanders +7,-5.0
10,CBS News,2020-02-08,848.0,29.0,25,10.0,17.0,12.0,1,2,1,1,0,Sanders +4,-5.0
11,Boston Herald,2020-02-08,512.0,23.0,20,6.0,16.0,14.0,3,0,2,0,1,Sanders +3,-5.0
12,UMas LowelUMLowel,2020-02-07,440.0,25.0,17,8.0,15.0,14.0,3,4,5,1,1,Sanders +8,-4.0
13,CNN,2020-02-07,356.0,28.0,21,5.0,9.0,11.0,3,6,3,0,0,Sanders +7,-4.0
14,Suffolk University,2020-02-06,500.0,24.0,23,6.0,13.0,11.0,3,4,3,1,1,Sanders +1,-3.0
15,WHDH,2020-02-06,500.0,32.0,23,9.0,13.0,11.0,2,6,2,0,0,Sanders +9,-3.0
16,NBC News,2020-02-06,709.0,25.0,21,8.0,14.0,13.0,4,3,4,1,1,Sanders +4,-3.0
17,Suffolk University,2020-02-05,500.0,25.0,19,6.0,11.0,12.0,2,5,4,0,0,Sanders +6,-2.0
18,Monmouth,2020-02-05,503.0,24.0,20,9.0,13.0,17.0,4,4,3,0,1,Sanders +4,-2.0
19,WHDH,2020-02-05,500.0,31.0,21,11.0,12.0,12.0,5,5,1,0,0,Sanders +10,-2.0
20,Suffolk University,2020-02-04,500.0,24.0,15,6.0,10.0,15.0,3,5,5,0,0,Sanders +9,-1.0
21,WHDH,2020-02-04,500.0,32.0,17,11.0,11.0,13.0,6,6,2,1,0,Sanders +15,-1.0
22,Suffolk University,2020-02-03,500.0,24.0,11,6.0,13.0,18.0,3,5,4,1,1,Sanders +6,0.0
23,WHDH,2020-02-03,500.0,32.0,12,12.0,13.0,13.0,5,4,5,0,0,Sanders +19,0.0
24,WHDH,2020-02-02,500.0,29.0,13,8.0,12.0,14.0,7,7,8,0,0,Sanders +15,1.0
25,St. Anselm,2020-02-02,491.0,19.0,14,11.0,11.0,19.0,4,3,5,0,0,Tie,1.0
26,Boston Herald,2020-02-01,454.0,31.0,8,4.0,17.0,24.0,1,3,0,0,1,Sanders +7,2.0
27,UMas LowelUMLowel,2020-01-31,400.0,23.0,12,6.0,19.0,22.0,2,5,6,--,0,Sanders +1,3.0
28,WCVB,2020-01-29,500.0,25.0,12,5.0,17.0,20.0,4,5,5,0,0,Sanders +5,5.0
29,Boston Herald,2020-01-26,407.0,29.0,10,5.0,16.0,22.0,1,3,0,0,2,Sanders +7,8.0
30,NBC News,2020-01-23,697.0,22.0,17,10.0,13.0,15.0,5,6,3,1,1,Sanders +5,11.0
31,WBUR,2020-01-21,426.0,29.0,17,6.0,13.0,14.0,5,5,2,1,0,Sanders +12,13.0
32,CNN,2020-01-23,516.0,25.0,15,6.0,12.0,16.0,5,5,2,0,0,Sanders +9,11.0
33,Suffolk University,2020-01-19,500.0,16.0,12,5.0,10.0,15.0,6,5,3,1,1,Sanders +1,15.0
34,WHDH,2020-01-16,657.0,23.0,18,10.0,14.0,14.0,6,5,4,0,0,Sanders +5,18.0
35,Boston Herald,2020-01-12,434.0,22.0,7,2.0,18.0,26.0,2,4,2,0,0,Biden +4,22.0
36,Monmouth,2020-01-07,404.0,18.0,20,6.0,15.0,19.0,3,4,4,0,2,Buttigieg +1,27.0
37,CBS News,2020-01-03,519.0,27.0,13,7.0,18.0,25.0,2,1,3,1,0,Sanders +2,31.0
38,WBUR,2019-12-08,442.0,15.0,18,3.0,12.0,17.0,5,5,3,0,0,Buttigieg +1,57.0
39,WHDH,2019-11-26,549.0,26.0,22,2.0,14.0,14.0,5,6,3,0,0,Sanders +4,69.0
40,Suffolk University,2019-11-24,500.0,16.0,13,1.0,14.0,12.0,4,6,2,1,0,Sanders +2,71.0
41,St. Anselm,2019-11-18,255.0,9.0,25,6.0,15.0,15.0,2,3,5,0,--,Buttigieg +10,77.0
42,CBS News,2019-11-13,535.0,20.0,16,3.0,31.0,22.0,1,0,1,--,0,Warren +9,82.0
43,Quinnipiac,2019-11-10,1134.0,14.0,15,3.0,16.0,20.0,4,6,3,--,1,Biden +4,85.0
44,CNN,2019-10-27,574.0,21.0,10,5.0,18.0,15.0,5,5,3,--,0,Sanders +3,99.0
45,Boston Herald,2019-10-13,422.0,22.0,9,2.0,25.0,24.0,1,1,1,--,--,Warren +1,113.0
46,CBS News,2019-10-11,506.0,17.0,7,2.0,32.0,24.0,5,2,4,--,0,Warren +8,115.0
47,St. Anselm,2019-09-29,423.0,11.0,10,3.0,25.0,24.0,2,3,2,--,0,Warren +1,127.0
48,Monmouth,2019-09-21,664.0,12.0,10,2.0,27.0,25.0,2,2,2,--,0,Warren +2,135.0
49,No Labels,2019-09-11,595.0,21.0,5,1.0,15.0,22.0,2,6,2,--,0,Biden +1,145.0
50,Boston Herald,2019-09-10,425.0,29.0,5,1.0,17.0,21.0,5,3,0,--,--,Sanders +8,146.0
51,Emerson,2019-09-09,483.0,13.0,11,1.0,21.0,24.0,3,6,1,--,0,Biden +3,147.0
52,CBS News,2019-09-04,,25.0,8,1.0,27.0,26.0,1,1,1,--,0,Warren +1,152.0
53,Gravis Marketing,2019-08-06,250.0,21.0,8,4.0,12.0,15.0,4,5,4,--,--,Sanders +6,181.0
54,Suffolk University,2019-08-04,500.0,17.0,6,1.0,14.0,21.0,1,3,1,--,0,Biden +4,183.0
55,CBS News,2019-07-18,530.0,20.0,7,1.0,18.0,27.0,1,2,1,--,--,Biden +7,200.0
56,CNN,2019-07-15,386.0,19.0,10,0.0,19.0,24.0,1,1,--,--,1,Biden +5,203.0
57,St. Anselm,2019-07-12,351.0,10.0,12,3.0,17.0,21.0,5,1,--,--,--,Biden +3,206.0
58,CBS News,2019-06-12,502.0,20.0,10,1.0,17.0,33.0,1,0,--,--,--,Biden +13,236.0
59,Monmouth,2019-05-07,376.0,18.0,9,2.0,8.0,36.0,1,0,--,--,--,Biden +18,272.0
60,Suffolk University,2019-04-28,429.0,12.0,12,1.0,8.0,20.0,1,1,--,--,--,Biden +8,281.0
61,UNH,2019-04-18,241.0,30.0,15,2.0,5.0,18.0,2,1,--,--,--,Sanders +12,291.0
62,St. Anselm,2019-04-08,326.0,16.0,11,2.0,9.0,23.0,--,1,--,--,--,Biden +7,301.0
63,UNH,2019-02-26,240.0,26.0,1,4.0,7.0,22.0,--,1,--,--,--,Sanders +4,342.0
64,Emerson,2019-02-22,405.0,27.0,1,8.0,9.0,25.0,--,0,--,--,--,Sanders +2,346.0
65,UMass Amherst,2019-02-15,337.0,20.0,--,1.0,9.0,28.0,--,--,--,--,--,Biden +8,353.0
